contractname,status,bidPurchaseDeadline,bidSubmissionDeadline,bidOpeningDate,tenderid,publicationDate,publishedIn,contractDate,completionDate,awardee,awardeeLocation,latlon,Amount 
Contract-2070-1,Closed,6/12/2014,6/13/2014,6/13/2014,2070/071/2,5/14/2014,Nagarik Daily,,,,,,
Contract-2070-2,Closed,6/10/2014,6/11/2014,6/11/2014,16/070/71,5/12/2014,The Himalayan Times,,,,,,
Contract-2070-3,Current,3/8/2014,3/9/2014,3/9/2014,DDC/Bag/Bridge/03-070/71,3/10/2014,Nagarik Daily,5/9/2014,8/25/2014,SK Builders,Banke,"28.160859,81.929169",200000
Contract-2070-4,Current,4/23/2014,4/25/2014,4/25/2014,04(2070/071),4/9/2014,Hetauda sandesh,,,,,,
Contract-2070-5,Closed,4/23/2014,4/25/2014,4/26/2014,04(2070/071),4/10/2014,Hetauda sandesh,3/18/2014,4/8/2014,S engineering industries,Makwanpur,"27.554636,85.023346",300000
Contract-2070-6,Current,4/23/2014,4/25/2014,4/27/2014,04(2070/071),4/11/2014,Hetauda sandesh,,,,,,
Contract-2070-7,Current,4/23/2014,4/25/2014,4/28/2014,04(2070/071),4/12/2014,Hetauda sandesh,,,,,,
Contract-2070-8,Current,4/23/2014,4/25/2014,4/29/2014,04(2070/071),4/13/2014,Hetauda sandesh,,,,,,
Contract-2070-9,Closed,2/6/2014,2/8/2014,2/8/2014,15/070/71,1/9/2014,The Himalayan Times,3/6/2014,4/6/2014,Gourishankar nirman sewa,Lalitpur,"27.666667,85.316667",400000
Contract-2070-10,Current,1/14/2014,1/15/2014,1/16/2014,"13, 2070/2071",1/6/2014,The Himalayan Times,2/6/2014,6/16/2014,SK Builders,Banke,"28.160859,81.929169",500000
